"Programming Languages",100,"This language runs on the JVM and is fully interoperable with Java, but uses concise syntax and null-safety features.","Kotlin"
"Programming Languages",200,"What is the output of this Python code? print(5 // 2)","2 (integer division truncates the result)"
"Programming Languages",300,"Developed by Google, this statically typed language emphasizes simplicity, concurrency, and fast compilation.","Go (Golang)"
"Cracked",100,"This four-letter protocol encrypts web traffic to ensure secure communication.","HTTPS"
"Cracked",200,"In Python, what will this output? a = [1,2,3]; b = a; b.append(4); print(a)","[1, 2, 3, 4] (both variables reference the same list)"
"Cracked",300,"This algorithm, developed by Rivest, Shamir, and Adleman, is widely used for secure data encryption.","RSA"
"History",100,"This company introduced the Windows operating system in 1985.","Microsoft"
"History",200,"The first version of this open-source browser, originally called “Phoenix,” was released in 2002.","Mozilla Firefox"
"History",300,"This American computer scientist co-founded Sun Microsystems and developed the Java programming language.","James Gosling"
"Tidbits",100,"This small, inexpensive computer developed in the UK is often used for teaching programming.","Raspberry Pi"
"Tidbits",200,"This company’s slogan “Don’t be evil” was originally part of its corporate code of conduct.","Google"
"Tidbits",300,"The IPv6 address space uses this many bits.","128 bits"
"Shell",100,"The ls command in Linux is used to do this.","List directory contents"
"Shell",200,"Which command displays your current working directory in Linux?","pwd"
"Shell",300,"This stream redirection operator sends both stdout and stderr to the same file.","&>"
"Random",100,"This data structure works on a “first in, first out” (FIFO) principle.","Queue"
"Random",200,"In databases, this operation combines rows from two or more tables based on a related column.","JOIN"
"Random",300,"This programming paradigm treats computation as evaluation of mathematical functions without changing state or mutable data.","Functional Programming"
